ID,Abbr,ArXiv,ArXivDate,NewestDate,Title,Insitutions,Publish,DOI,Demo,Tags,Github,Authors
van2017parallel,Parallel WaveNet,1711.10433v1,2017.11.28,2017.11.28,Parallel WaveNet: Fast High-Fidelity Speech Synthesis,,,,,,,"Aaron van den Oord, Yazhe Li, Igor Babuschkin, Karen Simonyan, Oriol Vinyals, Koray Kavukcuoglu, George van den Driessche, Edward Lockhart, Luis C. Cobo, Florian Stimberg, Norman Casagrande, Dominik Grewe, Seb Noury, Sander Dieleman, Erich Elsen, Nal Kalchbrenner, Heiga Zen, Alex Graves, Helen King, Tom Walters, Dan Belov, Demis Hassabis"
peng2019non,ParaNet,1905.08459v3,2019.05.21,2020.06.29,Non-Autoregressive Neural Text-to-Speech,Baidu Research,ICML2020,,,,,"Kainan Peng, Wei Ping, Zhao Song, Kexin Zhao"
lyth2024natural,Parler-TTS,2402.01912v1,2024.02.02,2024.02.02,Natural Language Guidance of High-Fidelity Text-to-Speech with Synthetic Annotations,,,,,,,"Dan Lyth, Simon King"
deshmukh2023pengi,Pengi,2305.11834v2,2023.05.19,2024.01.19,Pengi: An Audio Language Model for Audio Tasks,,NeurIPS2023,,,,,"Soham Deshmukh, Benjamin Elizalde, Rita Singh, Huaming Wang"
galvez2021people,PeopleSpeech,2111.09344v1,2021.11.17,2021.11.17,The People's Speech: A Large-Scale Diverse English Speech Recognition Dataset for Commercial Usage,,NeurIPS2021,,,Dataset,,"Daniel Galvez, Greg Diamos, Juan Ciro, Juan Felipe Cerón, Keith Achorn, Anjali Gopi, David Kanter, Maximilian Lam, Mark Mazumder, Vijay Janapa Reddi"
kim2024period,Period Singer,2406.09894v2,2024.06.14,2024.09.11,Period Singer: Integrating Periodic and Aperiodic Variational Autoencoders for Natural-Sounding End-to-End Singing Voice Synthesis,,,,,SVS,,"Taewoo Kim, Choongsang Cho, Young Han Lee"
lee2024periodwave,PeriodWave,2408.07547v1,2024.08.14,2024.08.14,PeriodWave: Multi-Period Flow Matching for High-Fidelity Waveform Generation,"Ajou University@Korea, KT Corp@Korea, Korea University@Korea",,,,,,"Sang-Hoon Lee, Ha-Yeong Choi, Seong-Whan Lee"
lee2024accelerating,PeriodWave-Turbo,2408.08019v1,2024.08.15,2024.08.15,Accelerating High-Fidelity Waveform Generation via Adversarial Flow Matching Optimization,,,,,,,"Sang-Hoon Lee, Ha-Yeong Choi, Seong-Whan Lee"
,PESQ,,,,,,,,,,,
kharitonov2021text,pGSLM,2109.03264v2,2021.09.07,2022.05.10,Text-Free Prosody-Aware Generative Spoken Language Modeling,,,,,,,"Eugene Kharitonov, Ann Lee, Adam Polyak, Yossi Adi, Jade Copet, Kushal Lakhotia, Tu-Anh Nguyen, Morgane Rivière, Abdelrahman Mohamed, Emmanuel Dupoux, Wei-Ning Hsu"
lee2022phaseaug,PhaseAug,2211.04610v2,2022.11.08,2023.03.13,PhaseAug: A Differentiable Augmentation for Speech Synthesis to Simulate One-to-Many Mapping,,,,,,,"Junhyeok Lee, Seungu Han, Hyunjae Cho, Wonbin Jung"
bernard2021phonemizer,Phonemizer,,2021.10.25,2021.12.18,Phonemizer: Text to Phones Transcription for Multiple Languages in Python,,JOSS2021,https://doi.org/10.21105/joss.03958,,,https://github.com/bootphon/phonemizer,"Mathieu Bernard, Hadrien Titeux"
lam2024present,PRESENT,2408.06827v1,2024.08.13,2024.08.13,PRESENT: Zero-Shot Text-to-Prosody Control,,,,,,,"Perry Lam, Huayun Zhang, Nancy F. Chen, Berrak Sisman, Dorien Herremans"
lee2021priorgrad,PriorGrad,2106.06406v2,2021.06.11,2022.02.20,PriorGrad: Improving Conditional Denoising Diffusion Models with Data-Dependent Adaptive Prior,,,,,,,"Sang-gil Lee, Heeseung Kim, Chaehun Shin, Xu Tan, Chang Liu, Qi Meng, Tao Qin, Wei Chen, Sungroh Yoon, Tie-Yan Liu"
liu2023promptstyle,PromptStyle,2305.19522v2,2023.05.31,2023.06.01,PromptStyle: Controllable Style Transfer for Text-to-Speech with Natural Language Descriptions,,,,,,,"Guanghou Liu, Yongmao Zhang, Yi Lei, Yunlin Chen, Rui Wang, Zhifei Li, Lei Xie"
guo2022prompttts,PromptTTS,2211.12171v1,2020.11.22,2020.11.22,PromptTTS: Controllable Text-to-Speech with Text Descriptions,"CAS/UCAS@CHN, USTC@CHN, RUC@CHN, Microsoft@USA",ICASSP2023,,,,,"Zhifang Guo, Yichong Leng, Yihan Wu, Sheng Zhao, Xu Tan"
shimizu2023prompttts++,PromptTTS++,2309.08140v2,2023.09.15,2023.12.27,PromptTTS++: Controlling Speaker Identity in Prompt-Based Text-to-Speech Using Natural Language Descriptions,,ICASSP2024,,,,,"Reo Shimizu, Ryuichi Yamamoto, Masaya Kawamura, Yuma Shirahata, Hironori Doi, Tatsuya Komatsu, Kentaro Tachibana"
leng2023prompttts2,PromptTTS2,2309.02285v2,2023.09.05,2023.10.12,PromptTTS2: Describing and Generating Voices with Text Prompt,MicroSoft@USA,ICLR2024Poster,,https://speechresearch.github.io/prompttts2,,,"Yichong Leng, Zhifang Guo, Kai Shen, Xu Tan, Zeqian Ju, Yanqing Liu, Yufei Liu, Dongchao Yang, Leying Zhang, Kaitao Song, Lei He, Xiang-Yang Li, Sheng Zhao, Tao Qin, Jiang Bian"
choi2026prosocodec,ProsoCodec,2606.21888v1,2026.06.20,2026.06.20,ProsoCodec: Prosody-Oriented Speech Codec for Voice Conversion,,,,,,,"Jeongsoo Choi, Ji-Hoon Kim, Shujie Hu, Joon Son Chung"
yang2025measuring,ProsodyEval,2509.19928v3,2025.09.24,2026.04.01,"Measuring Prosody Diversity in Zero-Shot TTS: A New Metric, Benchmark, and Exploration",,,,,,,"Yifan Yang, Bing Han, Hui Wang, Long Zhou, Wei Wang, Mingyu Cui, Xu Tan, Xie Chen"
ren2022prosospeech,ProsoSpeech,2202.07816v1,2022.02.16,2022.02.16,ProsoSpeech: Enhancing Prosody with Quantized Vector Pre-Training in Text-to-Speech,,,,,,,"Yi Ren, Ming Lei, Zhiying Huang, Shiliang Zhang, Qian Chen, Zhijie Yan, Zhou Zhao"
pan2024pscodec,PSCodec,2404.02702v3,2024.04.03,2024.11.21,PSCodec: A Series of High-Fidelity Low-Bitrate Neural Speech Codecs Leveraging Prompt Encoders,,,,,,,"Yu Pan, Xiang Zhang, Yuguang Yang, Jixun Yao, Yanni Hu, Jianhao Ye, Hongbin Zhou, Lei Ma, Jianjun Zhao"
mitsui2024pslm,PSLM,2406.12428v2,2024.06.18,2024.10.03,PSLM: Parallel Generation of Text and Speech with LLMs for Low-Latency Spoken Dialogue Systems,,,,,,,"Kentaro Mitsui, Koh Mitsuda, Toshiaki Wakatsuki, Yukiya Hono, Kei Sawada"
gu2025aliasing,Pupu-Vocoder,2512.20211v3,2025.12.23,2026.06.29,Aliasing-Free Neural Audio Synthesis,,,,,Vocoder,,"Yicheng Gu, Junan Zhang, Chaoren Wang, Jerry Li, Zhizheng Wu, Lauri Juvela"
biderman2023pythia,Pythia,2304.01373v2,2023.04.03,2023.05.31,Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling,,ICML2023,,,,,"Stella Biderman, Hailey Schoelkopf, Quentin Anthony, Herbie Bradley, Kyle O'Brien, Eric Hallahan, Mohammad Aflah Khan, Shivanshu Purohit, USVSN Sai Prashanth, Edward Raff, Aviya Skowron, Lintang Sutawika, Oskar van der Wal"
dettmers2023qlora,QLoRA,2305.14314v1,2023.05.23,2023.05.23,QLoRA: Efficient Finetuning of Quantized LLMs,,,,,,,"Tim Dettmers, Artidoro Pagnoni, Ari Holtzman, Luke Zettlemoyer"
